input_text,match_center,master_id
babulal jain inter college aligarh uttar pradesh jainpur nikat khirni gate police chowki,BABULAL JAIN INTER COLLEGE,2001
champa agrawal kanya inter college aligarh uttar pradesh achal taal,CHAMPA AGRAWAL KANYA INTER COLLEGE,2002
gopiram palivaal inter college aligarh uttar pradesh dwarikapuri near achal taal,GOPIRAM PALIVAAL INTER COLLEGE,2008
rajkeeya kanya inter college aligarh uttar pradesh saray mansingh khirni gate,RAJKEEYA KANYA INTER COLLEGE,2013
heeralal barahsainy inter college aligarh uttar pradesh achal taal gt road,HEERALAL BARAHSAINY INTER COLLEGE,2009
naurangilal rajkeeya inter college aligarh uttar pradesh near ghantaghar,NAURANGILAL RAJKEEYA INTER COLLEGE,2011
raghuveer sahay inter college aligarh uttar pradesh khirni gate agra road,RAGHUVEER SAHAY INTER COLLEGE,2012
ratan prem dav balika inter college aligarh uttar pradesh gt road naurangabad,RATAN PREM D.A.V. BALIKA INTER COLLEGE,2014
smb inter college aligarh uttar pradesh ramghat road,S.M.B. INTER COLLEGE,2015
shree maheshwar inter college aligarh uttar pradesh sasni gate mathura road,SHREE MAHESHWAR INTER COLLEGE,2010
sri tikaram kanya inter college aligarh uttar pradesh ramghat road,SHREE TIKARAM KANYA INTER COLLEGE,2020
mahila pg college bahraich uttar pradesh civil lines,HINDU MAHILA VIDYALAYA INTER COLLEGE,3002
bareilly college blocka bareilly uttar pradesh near nagar nigam office thana baradari,BAREILLY COLLEGE BAREILLY BLOCK-A,13033
bareilly college blockb bareilly uttar pradesh near nagar nigam office thana baradari,BAREILLY COLLEGE BAREILLY BLOCK-B,13034
bareilly college blockc bareilly uttar pradesh near nagar nigam office thana baradari,BAREILLY COLLEGE BAREILLY BLOCK-C,13035
bareilly college blockd bareilly uttar pradesh near nagar nigam office thana baradari,BAREILLY COLLEGE BAREILLY BLOCK-D,13052
bareilly college blocke bareilly uttar pradesh near nagar nigam office thana baradari,BAREILLY COLLEGE BAREILLY BLOCK-E,13053
bareilly inter college bareilly uttar pradesh campus bareilly college kalibari,BAREILLY INTER COLLEGE,13003
bishop mondal inter college bareilly uttar pradesh near hind cinema civil lines,BISHOP MONDOL INTER COLLEGE,13016
darbari lal sharma inter college bareilly uttar pradesh pilibhit road rithora,DARBARI LAL SHARMA INTER COLLEGE,13054
fr islamia inter college blocka bareilly uttar pradesh near govt inter college naumehla road civil lines,"F.R. ISLAMIA INTER COLLEGE, BLOCK B",13007
fr islamia inter college blockb bareilly uttar pradesh near govt inter college naumehla road civil lines,"F.R. ISLAMIA INTER COLLEGE, BLOCK B",13007
govt inter college bareilly uttar pradesh near thana kotwali civil lines,ISLAMIA GIRLS INTER COLLEGE,13005
islamia girls inter college bareilly uttar pradesh near kotwali civil lines,ISLAMIA GIRLS INTER COLLEGE,13005
kunwar ranjeet singh inter college bareilly uttar pradesh near airforce gate nainital road nagariya parikshit izzat nagar,KUNWAR RANJIT SINGH INTER COLLEGE,13021
tilak inter college bareilly uttar pradesh near qila overbridge qila police chauki,TILAK INTER COLLEGE,13013
vishnu inter college bareilly uttar pradesh madhobari narkulaganj near thana prem nagar,VISHNU INTER COLLEGE,13036
d b inter college gorakhpur uttar pradesh in front of beniganj police station alinagar gorakhpur,D. B. INTER COLLEGE,31036
